gene_symbol,log2FC,pvalue,padj
F11r,-1.5649999999999995,0.00041823719957900796,0.044947825100210656
Baiap2,-0.9950000000000001,0.0004290058617935654,0.045516312193140784
Prex1,0.9599999999999991,0.0004337454118603047,0.045516312193140784
Timp2,-0.5350000000000001,0.00043643348650499575,0.045516312193140784
Tlr2,1.4450000000000003,0.0004427081992344082,0.045516312193140784
Klhl38,2.5549999999999997,0.00044776721412573576,0.045516312193140784
Dhrs3,-1.5050000000000008,0.0004522266879546675,0.045516312193140784
B4galt1,0.47000000000000064,0.0004523863610834133,0.045516312193140784
Slc11a1,1.1750000000000007,0.00045238636108343967,0.045516312193140784
Casp1,0.5250000000000004,0.0004532064588083794,0.045516312193140784
Ccl24,0.33000000000000007,0.00045882085461857196,0.045516312193140784
Hmgn2,-0.3299999999999983,0.0004588208546185769,0.045516312193140784
Itgb2,0.9549999999999983,0.0004656705222857241,0.04582497096680209
Slc2a1,2.454999999999999,0.00046839283731751744,0.04582497096680209
Sik2,0.4599999999999991,0.0004722550440469541,0.04588637023869925
Ccdc50,-0.7200000000000006,0.00048190451451594863,0.0465054247817908
Dnase2,-0.22500000000000142,0.0004934616634054141,0.04651140472854487
Tmed9,-0.22499999999999964,0.0004934616634054219,0.04651140472854487
Rtp3,2.71,0.0005034253650838186,0.04651140472854487
Csf2rb,1.5549999999999997,0.0005062271424518203,0.04651140472854487
Mcee,-0.4950000000000001,0.0005097619742982295,0.04651140472854487
Ccl3,1.1100000000000012,0.000527137477579573,0.04651140472854487
Fyb,0.9700000000000006,0.000530982886690586,0.04651140472854487
Rgs18,-1.3000000000000007,0.0005321193506524047,0.04651140472854487
Plac8,3.740000000000002,0.0005321894614098816,0.04651140472854487
Heph,-1.5300000000000011,0.000533555330318383,0.04651140472854487
St3gal6,1.6400000000000006,0.0005386780489515015,0.04651140472854487
Tmem128,0.21499999999999986,0.0005403945274392064,0.04651140472854487
Clic2,1.3049999999999997,0.0005427090379408068,0.04651140472854487
Blnk,-1.1550000000000011,0.0005430254405235019,0.04651140472854487
Ifi27l2b,2.4400000000000013,0.0005454416174927434,0.04651140472854487
Ralgds,1.0900000000000016,0.0005466434401289963,0.04651140472854487
Ncf1,0.8499999999999996,0.0005531738772072784,0.04651140472854487
Akt3,-0.7650000000000006,0.0005548797832095639,0.04651140472854487
Atp6v0b,0.3000000000000007,0.0005550930208456309,0.04651140472854487
Top1,-0.41999999999999993,0.0005664118268072887,0.04651140472854487
Sod2,1.3200000000000003,0.0005734274225748832,0.04651140472854487
Arl6ip5,0.5899999999999999,0.0005740528601652025,0.04651140472854487
Hn1,-0.46499999999999986,0.0005776006951018517,0.04651140472854487
Slc38a6,0.8800000000000008,0.0005805890242014323,0.04651140472854487
Mvp,0.7449999999999992,0.0005850453910906386,0.04651140472854487
Jak2,1.75,0.0005872374250381991,0.04651140472854487
Rgs2,-2.0599999999999987,0.0005886023559623585,0.04651140472854487
Niacr1,2.794999999999999,0.000591510754102511,0.04651140472854487
Lpar6,-1.1050000000000004,0.0005932351267218637,0.04651140472854487
Ebi3,0.5800000000000001,0.0005940006464124474,0.04651140472854487
Osbpl9,-0.580000000000001,0.0005940006464124981,0.04651140472854487
Slc16a6,-0.5800000000000001,0.0005940006464124999,0.04651140472854487
Arid1a,-0.2900000000000009,0.0005940006464125492,0.04651140472854487
RT1-CE5,0.45500000000000007,0.0006032455154754742,0.04651140472854487
Slc7a2,2.905000000000001,0.00060674498768862,0.04651140472854487
Cx3cr1,-1.1799999999999997,0.0006098983472251243,0.04651140472854487
Phyhd1,1.625,0.0006148171500332569,0.04651140472854487
Acbd5,-0.5700000000000003,0.0006150062082332111,0.04651140472854487
Shisa5,0.629999999999999,0.0006292870801281718,0.04651140472854487
Cd34,-1.5550000000000006,0.000630083987669436,0.04651140472854487
Trove2,-0.4450000000000003,0.0006306363747599644,0.04651140472854487
Oasl,3.2700000000000005,0.000639997075789021,0.04651140472854487
Trex1,1.759999999999998,0.0006450365116761782,0.04651140472854487
Cd14,1.1799999999999997,0.0006457399776507914,0.04651140472854487
Itgb5,-2.29,0.0006477178154238902,0.04651140472854487
Phtf2,1.0,0.0006493669357824467,0.04651140472854487
Tlr7,1.6750000000000007,0.0006498449515460661,0.04651140472854487
Ccl12,3.744999999999999,0.0006499884490196116,0.04651140472854487
Scarf1,1.5249999999999995,0.0006550934211084213,0.04651140472854487
Rab5a,0.19500000000000206,0.0006568145207794389,0.04651140472854487
Parvb,-0.39000000000000057,0.000656814520779451,0.04651140472854487
Zfp513,0.19500000000000028,0.000656814520779451,0.04651140472854487
Lamtor1,0.19500000000000028,0.000656814520779451,0.04651140472854487
Arhgap26,0.9649999999999999,0.0006704840306980445,0.04651140472854487
Ccl5,2.8099999999999987,0.0006705423923122494,0.04651140472854487
Ednrb,-1.7200000000000024,0.0006753563274566539,0.04651140472854487
Porcn,-0.5750000000000002,0.0006798354073535635,0.04651140472854487
Herc6,3.0200000000000005,0.0006845733583250102,0.04651140472854487
Fam134c,-0.27000000000000046,0.0006851662332329256,0.04651140472854487
Hck,1.7149999999999999,0.0006877784299322681,0.04651140472854487
Ifit2,2.3249999999999993,0.000688385540476861,0.04651140472854487
Herc2,-0.4249999999999998,0.0006913239678696715,0.04651140472854487
Ptpre,-0.379999999999999,0.0006918022273877161,0.04651140472854487
Apobec1,-0.7599999999999998,0.0006918022273877743,0.04651140472854487
Oas1b,2.535,0.0007034030417183342,0.046874007893135325
Ncoa4,-1.0599999999999987,0.0007112376433212944,0.046874007893135325
Ap4m1,-0.6750000000000007,0.0007125435967372698,0.046874007893135325
Cd4,-0.6749999999999989,0.0007125435967373222,0.046874007893135325
Ypel2,-1.42,0.0007183286165318454,0.046874007893135325
Nfkbia,1.3550000000000004,0.0007208874652406645,0.046874007893135325
Cybb,0.41499999999999915,0.0007250055328470022,0.046874007893135325
Rapgef5,1.4449999999999994,0.0007295560845544118,0.046874007893135325
Cd72,2.5150000000000006,0.0007303982829031071,0.046874007893135325
Dusp2,1.8550000000000004,0.0007329862914963652,0.046874007893135325
Galk1,-0.2600000000000007,0.0007388253686857801,0.046874007893135325
Ap2m1,-0.2599999999999998,0.0007388253686858504,0.046874007893135325
Ncf4,1.8699999999999974,0.0007426874881921987,0.046874007893135325
